pm10_standard,pm25_standard,pm100_standard,pm10_env,pm25_env,pm100_env,particles_03um,particles_05um,particles_10um,particles_25um,particles_50um,particles_100um,time
3,3,4,3,3,4,771,218,17,2,0,0,2021-01-05 11:54:03.835021
2,2,2,2,2,2,552,162,6,0,0,0,2021-01-05 11:55:03.835017
3,3,3,3,3,3,660,202,14,0,0,0,2021-01-05 11:56:03.780106
1,2,2,1,2,2,531,163,12,0,0,0,2021-01-05 11:57:03.835109
1,2,4,1,2,4,591,176,14,2,2,2,2021-01-05 11:58:03.835074
2,2,4,2,2,4,543,151,16,2,2,0,2021-01-05 11:59:03.812656
1,2,3,1,2,3,579,173,12,2,0,0,2021-01-05 12:00:03.780034
3,3,4,3,3,4,597,178,6,2,2,0,2021-01-05 12:01:03.835183
2,2,3,2,2,3,573,168,20,2,0,0,2021-01-05 12:02:03.835136
3,3,3,3,3,3,660,189,11,0,0,0,2021-01-05 12:03:03.835152
1,2,2,1,2,2,597,165,8,0,0,0,2021-01-05 12:04:03.804314
